#,LINK,ARABIC,ENGLISH
166,https://kanooelite.com/,شركة كانو النخبة المحدودة,Kanoo Elite
167,https://me-en.kaspersky.com/,شركة كاسبرسكي لتنقية المعلومات,Kaspersky Information Technology
168,https://www.kayes.com.sa/,مؤسسة كايس لتقنية المعلومات,KAYES Trading Establishment
169,https://keypoint.com/ksa/it/,شركة النقطة الرئيسية لتقنية المعلومات,Keypoint
170,https://kilotech.sa.com/,شركة تطبيقات كيلو ماس للتسويق الالكتروني,kilo mass application
171,https://kcc.sa/,شركة ربط المعارف المحدودة,Knowledge Connect Company
172,https://kite.com.sa/,مؤسسة شركاء المعرفة لتقنية المعلومات,Knowledge Partners Information Technology Est
173,https://home.kpmg/,شركة كى بي ام جي للاستشارات المهنية,KPMG Professional Services
174,https://www.lantern.com.sa/,شركة المشعل المضئ للحاسبات والأنظمة الأمنية,Lantern Software and Security Systems Co. LTD
175,https://leadergroup.com/,شركة القائد للاستثمار,Leader Group
176,https://leira.com.sa/,شركة ليرا العربية لتقنية المعلومات,Leira Arabia for information Technology
177,https://www.leonardo.com/,شركة ليوناردو السعودية المحدودة,Leonardo Saudi Ltd
178,https://www.loffan.com/,شركة لوفان لتقنية المعلومات,Loffan Company
179,https://loopcloud.sa/,شركة سحابة لوب لتقنية المعلومات,Loop Cloud for information Technology
180,https://looptech.com.sa/,شركة لوب تيك لتقنية المعلومات,Looptech for information technology
181,https://lot.sa/,لوت لتقنية المعلومات,Lot for Information Technology
182,https://ltech.sa/,مؤسسة التقنية المترفة للاتصالات وتقنية المعلومات,LTECH Luxury Technology
183,https://lunar.sa/,شركة مدار القمر للأمن السيبراني,Lunar
184,http://www.madaric.com/,شركة مدارك للاتصالات وتقنية المعلومات,Madaric
185,https://www.managed.sa/,شركة الخدمات المدارة لتقنية المعلومات,Managed Services
186,https://master-works.net/,شركة الأعمال البارعة لتقنية المعلومات,Master Works
187,https://mazsa.net/,معهد ماز العالي للتدريب,MAZ HIGHER INSTITUTE OF TRAINING
188,https://www.mbuzz.com.sa/,أعمال المتنقل للاتصالات وتقنية المعلومات,Mbuzz
189,https://www.microsoft.com/ar-sa/,مايكروسوفت العربية المحدودة,Microsoft Arabia
190,https://www.cyberanisolutions.com/,شركة حلول الشرق الأوسط لتقنية المعلومات,Middle East Information Technology Solutions (D/b/a Cyberani Solutions)
191,https://cyberia.net.sa/,شركة الشرق الأوسط للإنترنت المحدودة,Middle East Internet co. Ltd
192,https://www.middlesolution.com/,شركة ميدل سليوشن السعودية لتقنية المعلومات,Middle Solution
193,https://mis.com.sa/,شركة المعمر لأنظمة المعلومات,MIS - Al Moammar Information Systems Co
194,https://metatechs.com.sa/,مؤسسة ماوراء التقنيات للأمن السيبراني,Metatechs
195,https://cloud.sa.zain.com/en/home/virtual-data-center,شركة الاتصالات المتنقلة السعودية زين,Mobile Telecommunication Company - Zain
196,http://mag.sa/,Modern Alliance Group,التحالف العصري لتقنية المعلومات
197,https://mssp.sa/,شركة حلول الخدمات المدارة للاتصالات وتقنية المعلومات,MSSp
198,http://www.fiit.sa/,مؤسسة المبادرة الأولى الأمنية,Mubadara Aloula for IT
199,https://www.nabuware.com/,شركة مشروع المظلة التقنية,Nabuware
200,https://www.naizak.com/,مؤسسة انظمة النيزك الهندسية العالمية,Naizak
201,https://www.namaatec.com/,شركة عالم نماء للاتصالات السلكية والحاسبات ونظم المعلومات,Namaa Tech
202,https://www.neomatrix.tech/,شركة الحلول الكاملة للاتصالات وتقنية المعلومات,NeoMatrix Technologies - AlHeloul AlKamilah Telecom & Info Tech Company
203,https://www.nesma-nit.com/,شركة نسما للبنية التحتية والتقنية المحدودة,& Technology Nesma Infrastructure
204,https://www.niiconsulting.com/,شركة شبكة الذكاء للأمن السيبراني,Network Intelligence Company for Cyber Security
205,https://nesicsa.com/,شركه دمج الشبكات والانظمه المعلوماتيه العربيه السعوديه المحدودة,Networks & System Integration S. A. Co. Ltd (NESIC Saudi Arabia)
206,http://www.neusol.com/,مؤسسة فارس الأنظمة لتقنية المعلومات,NEUSOL
207,https://nour.net.sa/cyber-security/web-security-solutions/,شركة نور انترنت,NourNet
208,https://nozomtechs.com/,شركة نظم الخبرات لتقنية المعلومات,Nozom Information Technology Consulting Company
209,https://netkit.sa/,مؤسسة ادوات بناء الشبكة لتقنية المعلومات,NETKIT
210,https://www.nozominetworks.com/,شركة نوزومي نتوركس إنك,Nozomi Networks
211,https://oivan.com/,شركة نكس مي للاتصالات وتقنية المعلومات,NXme For Communication And Info Tech Company
212,https://www.obrela.com/,شركة اوبريلا العربية لتقنية المعلومات,Obrela Security Industries
213,https://www.onetelecom.sa/,شركة منافذ الشبكة المفتوحة للاتصالات و تقنية المعلومات,onetelecom
214,https://www.orbitknowledge.net/,شركة مدار المعرفه لتقنية المعلومات,Orbit Knowledge For IT Technology
215,https://www.orbitnetwork.sa/,مؤسسة شبكة المدار لتقنية المعلومات,Orbit Network
216,https://www.oregon-systems.com/,شركة اوريغون سيستمز,Oregon Systems
217,https://www.paloaltonetworks.com/,شركة بالو التو نيتوركس العربية السعودية المحدودة,Palo Alto Networks
218,https://pentesting.sa/,شركة اختبار الاختراق للاتصالات وتقنية المعلومات,Penetration Testing Company
219,https://www.pwc.com/,شركة برايس وتر هاوس كوبرز للاستشارات المحدودة,PricewaterhouseCoopers Advisory Ltd
220,https://presources.sa/,شركة الموارد العالية المحدودة,Prime Resources Company
221,https://www.procomme.com/,شركة بروكوم للتكنولوجيا,Procom Technologies Co
222,https://www.protiviti.com/,شركة بروتيفيتي ممبر فيرم السعودية للاستشارات الإدارية,Protiviti Saudi Member Firm for Management Consultancy
223,https://purpleseq.sa/,مؤسسة التعاقب الارجواني للأمن السيبراني,Purple Sequence for Cybersecurity
224,http://www.qabastech.com/,شركة قبس التقنية للتجارة,Qabastech
225,https://www.qswra.com/,شركة قسورة لتقنية المعلومات,Qswra
226,https://qtc.sa/,شركة تقنية الجودة للاعتماد,Quality Techno Certification
227,https://www.qss.com.sa/,شركة أنظمة الأمن الكمي للاتصالات وتقنية المعلومات,Quantum Security Systems
228,https://www.riskassociates.com/,شركة ار ايه أي يو العربية لتنقية المعلومات,RA EU Alarabia Information Technology Company (Risk Associates)
229,https://www.rsa.com/,شركة أر أس أيه سيكيوريتي المحدودة,RSA Security
230,https://rationaldata1.com/,شركة ترشيد المصروفات للاتصالات,Rational Data
231,http://www.rt.com.sa/,تقنية الريان للتجارة,Rayan Technologies
232,https://top.net.sa/,شركة ريادة الشبكة للإتصالات وتقنية المعلومات,Rayadah Internet Service Provider
233,https://www.redingtongroup.com/,شركة ريد نجتون جلف العربية لتقنية المعلومات,Redington Gulf for Information Technology
234,https://www.rmg-sa.com/,شركة ريناد المجد لتقنية المعلومات,info company (RMG) & Renad Almajd for Tech
235,https://www.resecurity.com/,شركة ريسكيورتي المحدودة,Resecurity
236,https://resilience.sa/,شركة الحماية المرنة للإتصالات وتقنية المعلومات,Resilience Co
237,http://www.riskverse.me/,شركة الأخطار المدارة للأمن السيبراني,Riskverse
238,https://www.ry-alt.com/,شركة بدائل الرياض للتجارة,Riyadh Alternative company
239,https://www.rsg.one/,شركة الصخور السعودية الصلبة المحدودة,Rock Solid Group (RSG)
240,https://romuz.com.sa/,شركة رموز التقنيات للامن السيبراني,Romuz Data Solutions LLC
241,https://www.ecovis.com/global/newsletter/,شركة سعد صالح السبتي وشركاؤه محاسبون ومراجعون قانونيون,Saad Saleh Al-Sabti & Partners Co. Chartered Accountants and Auditors
242,https://sabry.sa/,مؤسسة سابري لتقنية المعلومات,SABRY Information Technology
243,https://sadeed.sa/,شركة سديد للأمن السيبراني,SADEED
244,https://www.safedecision.com.sa/,شركة القرار الآمن,Safe Decision
245,https://www.safep.com.sa/wp/,شركة الممر الأمن المحدودة,Safe Pass Co.Ltd
246,https://sahara.com/,شركة شبكة صحارى,Sahara Net
247,https://said.com.sa/,مؤسسة سائد لتقنية المعلومات,Said Information Technology
248,https://salam.sa/,شركة سلام,Salam
249,https://salekx.sa/,شركة سالك عشرة للاتصالات وتقنية المعلومات,Salek x
250,https://www.sbm.com.sa/,الشركة السعودية للحسابات الإلكترونية,Saudi Business Machines (SBM)
251,https://www.cyber.com.sa/,الشركة السعودية للأمن السيبراني وتقنية المعلومات,Saudi Cybersecurity Company & IT . Ltd
252,https://safcsp.org.sa/,الاتحاد السعودي للأمن السيبراني والبرمجة والدرونز,Saudi Federation for Cybersecurity Programming & Drones
253,https://site.sa/,الشركة السعودية لتقنية المعلومات,Saudi Information Technology Company
254,http://cgc-sa.com/main,شركة إنتيليجينتس السعودية للأمن السيبراني,Saudi Intelligints for Cyber Security
255,https://www.pcssaudi.com/,الشركة العُليا السعودية لأنظمة الحاسب الآلي,Saudi Paramount Computer Systems
256,https://www.sauditameer.sa/,شركة التعمير والإنشاءات السعودية للمقاولات,Saudi Tameer
257,https://www.se.com/sa/en/,شركة شنايدر إليكتريك العربية السعودية,Schneider Electric
258,https://securedbydefault.com/,شركة الامان الافتراضي للامن السيبراني,SecuredByDefault
259,https://securenass.com/,شركة أمان الناس التجارية,SecureNass
260,https://secureyes.net/,شركة سكيور آيز المحدودة,SecurEyes Limited
261,https://www.securitymakers.sa/,شركة صناع الأمان للأمن السيبراني,Security Makers
262,https://security.print.com.sa/,بصمة أمان,Security Print
263,https://www.sejeltech.com/,شركة سجل التقنيه للتطبيقات الالكترونيه المتكامله المحدوده,Sejel Technology
264,https://www.sensus.sa/,شركة إحساس تقني,Sensus
265,https://shieldit.sa/,درع لتقنية المعلومات,Shield IT
266,https://sinam-it.com/,شركة سنام العالمية لتقنية المعلومات,Sinam International IT Solutions Co.
267,https://smartlevel.sa/Ict/ar,مؤسسة المستوى الذكي للاتصالات وتقنية المعلومات,Smart Level Company
268,https://www.smart-orbit.com/,مؤسسة سمارت اوربيت للاتصالات وتقنية المعلومات,information Technologies & Smart Orbit For Communication
269,https://smartcyber.sa/,شركة الحلول الأمنية الذكية المحدودة,Smart Security Solutions
270,https://smart.sa/,شركة الذكاء المميز لحلول التجارة والأعمال المحدودة,Smart Technology Soultions
271,https://snscyber.com/,شركة امن الانظمة والشبكات للإتصالات وتقنية المعلومات,SNS Cyber Risk Managemnt Serices
272,https://www.solidrange.com/,شركة النطاق المحكم للاتصالات و تقنية المعلومات,Solidrange
273,https://solutions.com.sa/,الشركة العربية لخدمات الانترنت والاتصالات,Solutions by stc
274,http://seitcs.com/,شركة خبراء التخصص للاتصالات وتقنية المعلومات,SPECILATY EXPERTS
275,https://www.spiresolutions.com/,شركة سباير سوليوشونز السعودية للاتصالات وتقنية المعلومات,spire solutions
276,https://squid.tech/,شركة الحبار التقني التجارية,Squid Technologies
277,https://www.starways.com.sa/,شركة درب الشهاب لتقنية المعلومات,Starways
278,https://streamit-ksa.com/,شركة الروافد لحلول تقنية المعلومات,Stream it
279,https://www.4s.net.sa/,شركة انظمة التجهيز وخدمات المساندة,Supply & Support Service Systems Co. Ltd
280,https://synoptic.com.sa/,مؤسسة المعلومات الشاملة لتقنية المعلومات,Synoptic Information
281,https://www.asf-it.com/,شركة الأنظمة الامامية لتقنية المعلومات,Information Technology Company & System Front
282,https://itbuilders.com.sa/,شركة بناة الأنظمة للاتصالات وتقنية المعلومات,Systems Builders for communication and information technology
283,https://www.tabayyun.com.sa/,شركة تبين المعلومات للأمن السيبراني,Tabayyun Al Malumat for Cybersecurity
284,https://tamayouz.sa/,شركة تميز لخدمات الأعمال,Tamayouz for Business Services
285,https://www.tamkeensecurity.sa/,تمكين المعلومات للأمن السيبراني,TAMKEEN SECURITY
286,https://tamkeentech.sa/,شركة تمكين للتقنيات,Tamkeen Technologies
287,https://taqniacyber.com/,شركة تقنية لأمن المعلومات,Taqnia Cyber
288,https://www.tarmeez.com/,شركة ترميز الرقمية التجارية,Tarmeez Co. LTD
289,https://techs.com.sa/,شركة محطات التقنية لتقنية المعلومات,Tech Stations Company for IT Services (TSC)
290,https://techarch.com.sa/,شركة التراكيب التقنية لتقنية المعلومات,TECHARCH
291,https://www.tl-ss.com/,مؤسسة تقنية الحياة للتجارة,TECHLIFE
292,https://www.tcc-ict.com/,شركة تحكم التقنية المحدودة,Technology Control Company (TCC)
293,https://technofriend.net/,مؤسسة صديق التقنية لتقنية المعلومات,Technology Friend
294,https://www.techworld-it.com/,شركة عالم التقنية للاتصالات,.Technology World For Communication Co
295,https://www.tforce.com.sa/,مؤسسة القوي التقنية للاتصالات وتقنية المعلومات,TFORCE
296,https://www.thalesgroup.com/en,شركة تاليس دي اي اس العربية لتقنية المعلومات,Thales DIS Arabia for Information Technology Co.
297,https://www.thalesgroup.com/,شركة تاليس للحلول الأمنية والخدمات المحدودة,Thales Security Solutions & Services LLC.
298,https://www.thecloudshield.com/,شركة درع السحابة للاتصالات,The Cloud Shield
299,https://tng.com.sa/,شركة ذا نت ورك قايد العالمية لتقنية المعلومات,The Network Guide International Company
300,https://tt.net.sa/,مؤسسة تقنيات رقيقة للاتصالات وتقنية المعلومات,Thin Technology
301,https://threat.sa/,مؤسسة حلول المخاطر للأمن السيبراني,Threat Solutions
302,https://www.3wnetworks.com/,شركة ثري دبليو نت وركس العربية,Three W Networks Arabia company
303,https://tech-vil.com/,مؤسسة قرية التكنولوجيا,Technology village
304,https://www.techvisions.com.sa/,شركة مرئيات التقنية لتقنية المعلومات,Technology Visions for Information Technology
305,https://www.trendmicro.com/,شركة تريند مايكرو ليمتد,Trend Micro
306,https://trinergy-tech.com/,شركة ثلاثي الطاقة للتكنلوجيا السعودية العربية,Trinergy Technologies SA CO
307,https://tcg.com.sa/,مؤسسة الفحص الثلاثي لتقنية المعلومات,Triple Check Group
308,https://www.trustline.sa/,مؤسسة سطر الثقة لتقنية المعلومات,Trust Line
309,https://www.trustedbz.com/,شركة الأعمال الموثوقة للاتصالات وتقنية المعلومات,Trusted Business Compmany
310,https://trustedchain.sa/,شركة ميثاق النظم لتقنية المعلومات,Trusted Chain Company
311,https://trusted.sa/,شركة الثقة الأمنية لتقنية المعلومات,Trusted Partners
312,https://trustlink.sa/,رابط الثقة للاتصالات وتقنية المعلومات,TrustLink
313,https://www.tsasec.sa/,مؤسسة تسا للأمن السيبراني,TSA for cybersecurity &technical solutions
314,https://www.tss4it.com/,شركة الخدمات الموثوقة للأمن السيبراني,TSS DWC
315,https://www.tuv.com/saudi-arabia/ar/,شركة تي يو في راين لاند العربية,TÜV Rheinland Arabia LLC
316,https://www.unifieddefenses.com/,شركة الدفاع الموحد للأمن السيبراني,Unified Defenses for Cybersecurity
317,https://www.unit.sa/,شركة الوطنية المتحدة لتقنية المعلومات,United National Information Technology Co.
318,https://valueboxx.com/,مؤسسة الصندوق القيمة المحترفة للاتصالات و تقنية المعلومات,ValueBoxx
319,https://www.versos.com/,شركة الحلول المتوافقة للحاسبات الآلية,Versatile Solutions Co. For Computer
320,http://www.virtuport.com/,شركة فيرتوبوت لتقنية المعلومات,VirtuPort Cyber Security
321,https://www.watadenergy.com/,شركة وتد للطاقة والاتصالات المحدودة,Watad Energy & Communications Co ltd
322,https://wavestelecom.net/,مؤسسة موجات الاتصالات التقنية التجارية,Waves Telecom and Technology Trading Establishment
323,http://www.wipro.com/,شركة ويبرو العربية المحدودة,Wipro Arabia Limited
324,https://wjn.sa/,شركة وجن للأمن السيبراني,WJN Cybersecurity Company
325,http://xactasolutions.tech/,شركة معالم الحلول لتقنية المعلومات,XACTA Business Solutions
326,http://www.yamtech.com.sa/,شركة يم للتقنية المحدودة,Yam Technology
327,http://www.zaintech.com/,فرع شركة زين تك سوليوشنس,ZainTech Solutions
328,https://ebs.com.sa/index.html,شركة الحلول الفردية الإلكترونية,E-Business Solutions